113 91  15
127 89  14
127 102  15
201 112  14
135 108  15
142 114  15
105 84  15
164 91  13
120 96  15
149 88  14
149 88  14
120 96  15
164 85  13
164 85  13
186 149  15
186 92  13
178 94  15
161 94  15
135 108  15
105 84  15
127 72  9
120 96  15
120 96  15
120 96  15
194 108  14
429 231  15
186 85  14
223 103  15
201 100  14
127 102  15
157 105  14
201 86  15
210 91  8
192 82  13
201 95  13
113 91  15
127 89  14
157 80  15
120 96  15
142 100  14
172 88  14
127 102  15
157 105  15
201 100  14
105 84  15
157 97  14
110 88  15
110 88  15
168 120  14
168 120  14
120 96  15
127 102  15
142 97  14
127 102  15
142 114  15
113 91  15
142 114  15
172 96  15
113 91  15
157 126  15
186 106  14
113 91  15
142 89  15
113 91  15
142 84  15
95 76  15
110 88  15
154 74  13
113 91  15
157 89  14
142 114  15
142 75  15
142 114  15
172 105  14
251 104  15
99 80  15
143 89  15
13 10  15
148 119  15
178 143  15
207 116  15
160 128  15
266 140  15
127 102  15
98 78  15
127 102  15
157 124  15
127 101  15
127 91  15
127 102  15
142 86  15
157 77  12
98 78  15
142 114  15
113 91  15
157 88  15
142 94  14
142 99  14
149 100  15
149 100  15
127 81  15
157 126  15
201 124  15
120 96  15
157 93  15
245 196  15
304 180  15
142 114  15
157 90  13
157 93  15
142 113  15
172 96  15
142 114  15
120 96  15
127 102  15
172 89  12
127 102  15
157 90  15
120 96  15
164 101  15
161 90  14
161 95  15
186 104  14
186 104  14
127 102  15
215 129  13
117 94  15
147 80  15
113 91  15
142 87  15
151 121  15
180 105  15
120 96  15
164 84  15
84 67  15
194 95  11
157 115  15
142 86  15
119 95  15
148 83  15
84 67  15
113 85  13
199 125  15
164 92  12
149 82  15
194 155  15
127 102  15
172 101  13
157 126  15
186 130  14
215 113  15
105 84  15
135 75  13
135 72  15
201 108  15
117 94  15
120 96  15
149 90  14
194 86  14
113 91  15
142 100  15
172 73  13
172 81  9
172 81  9
172 95  12
172 79  14
172 73  13
184 76  14
184 76  14
191 81  12
201 95  13
127 57  4
127 66  4
127 68  3
127 62  7
135 108  15
164 104  15
194 96  13
119 95  15
148 117  15
166 87  15
131 105  15
148 103  14
178 89  15
113 91  15
135 108  15
178 91  14
141 113  15
170 111  14
108 87  15
167 127  15
120 96  15
142 112  15
172 85  12
113 91  15
142 69  10
152 105  15
196 93  14
98 78  15
142 114  14
113 91  15
142 96  15
142 96  15
142 107  15
157 108  15
98 78  15
157 95  13
142 114  15
135 108  15
178 100  15
120 96  15
157 95  15
157 95  15
166 133  15
217 122  15
164 90  14
186 149  15
274 157  15
135 108  15
149 90  14
142 75  15
201 108  15
126 101  15
158 97  15
120 96  15
147 118  15
205 118  15
137 110  15
152 87  14
127 102  15
84 67  15
201 161  15
166 116  14
127 75  12
139 111  15
154 97  14
213 92  15
252 170  15
113 91  15
157 82  15
154 122  15
213 104  14
113 91  15
157 86  14
125 100  15
176 95  15
163 94  13
126 101  15
155 103  15
120 96  15
142 114  15
186 104  14
157 76  13
157 73  13
215 118  15
223 99  14
201 98  14
164 80  15
164 80  15
178 83  11
180 90  15
149 74  14
149 71  12
164 86  14
215 102  15
178 85  15
154 74  13
142 86  15
120 62  1
157 95  15
127 77  15
127 65  7
127 65  7
127 65  7
127 65  7
127 65  7
164 88  11
172 83  12
164 80  15
184 77  8
184 76  13
171 72  12
171 69  11
188 81  8
198 82  14
251 118  12
251 112  15
231 119  15
157 67  8
201 95  13
201 90  15
201 95  13
120 96  15
142 114  15
164 92  12
149 120  15
186 121  14
215 108  15
135 108  15
164 112  15
194 99  14
186 95  13
120 96  15
142 93  15
120 96  15
149 112  15
178 91  13
114 91  15
148 96  15
127 102  15
164 92  15
127 102  15
164 92  15
127 102  15
164 92  15
166 133  15
225 118  15
127 102  15
145 116  15
172 88  14
120 96  15
164 90  14
135 108  15
157 95  15
178 85  15
149 120  15
152 105  15
142 113  15
215 105  14
205 148  15
164 132  15
178 103  13
208 98  14
127 102  15
164 130  15
208 112  15
231 124  15
164 84  15
120 96  15
135 108  15
164 88  14
98 78  15
113 91  15
142 78  14
113 91  15
142 86  15
120 96  15
157 84  15
157 93  15
127 102  15
142 113  15
194 94  14
157 126  15
157 126  15
208 104  15
208 104  15
164 94  15
127 102  15
157 83  13
127 101  15
149 85  14
160 86  15
110 88  15
110 88  15
139 78  11
133 106  15
163 85  15
135 91  15
164 76  11
127 102  15
172 95  13
113 91  15
142 76  14
135 108  15
164 94  15
120 96  15
142 105  14
157 86  15
120 96  15
149 92  15
215 111  15
145 116  15
164 97  15
107 86  15
129 96  15
158 80  13
142 114  15
172 94  14
135 98  15
127 102  15
157 78  13
155 124  15
221 131  15
135 108  15
201 113  15
296 179  15
127 102  15
157 90  13
119 95  15
163 92  13
113 91  15
142 90  10
142 74  13
105 84  15
149 103  15
178 91  14
135 108  15
164 84  15
127 102  15
142 100  15
142 67  14
121 97  14
151 87  14
166 73  13
135 108  15
194 93  12
172 87  11
127 102  15
172 96  15
214 127  15
214 127  15
120 96  15
149 78  15
167 86  15
141 113  15
184 95  15
120 96  15
149 75  15
194 99  14
157 126  15
201 98  15
215 113  15
157 126  15
215 128  15
178 100  14
139 70  9
131 105  15
160 103  15
189 82  10
135 105  15
178 79  15
188 92  11
188 82  12
188 92  11
170 78  15
170 79  11
170 78  15
170 76  15
184 77  8
184 77  8
184 82  14
184 79  14
218 100  14
188 82  12
201 86  15
158 72  14
136 109  15
143 99  15
184 92  15
113 91  15
141 92  15
164 80  14
114 91  15
133 96  15
160 84  15
110 88  15
178 142  15
120 96  15
145 116  15
168 98  15
110 88  15
120 96  15
172 116  15
145 116  15
180 93  15
119 95  15
133 104  15
168 79  13
151 121  15
235 124  15
152 120  15
194 96  13
164 97  15
145 116  15
163 96  15
168 135  15
202 113  15
145 116  15
174 101  14
131 105  15
180 101  15
115 93  15
160 83  13
127 102  15
149 83  13
127 102  15
158 80  13
119 95  15
145 76  15
139 101  15
174 84  12
167 134  15
235 120  13
194 93  12
168 93  15
152 98  14
127 102  15
120 96  15
154 93  15
186 86  15
137 84  14
117 94  15
178 96  15
126 101  15
119 95  15
133 107  15
141 113  15
149 83  13
135 76  13
164 88  15
178 93  14
135 108  15
194 92  15
194 87  9
113 91  15
178 90  12
219 97  13
219 97  13
133 73  12
213 98  14
339 151  15
127 62  4
157 72  15
157 62  0
172 75  10
154 124  15
168 116  14
168 85  11
184 91  13
120 96  15
149 108  15
194 97  15
127 102  15
142 88  14
172 81  14
105 84  15
135 106  15
172 89  13
125 100  15
184 109  15
123 99  15
137 96  15
167 81  15
123 98  15
196 98  15
164 91  13
164 91  13
164 91  13
164 91  13
113 91  15
142 81  11
120 96  15
164 86  14
178 91  14
164 85  13
120 96  15
127 102  15
127 89  6
157 98  13
201 98  15
110 88  15
154 102  11
113 91  15
157 86  15
113 91  15
142 92  15
125 100  15
154 85  15
157 126  15
231 113  15
115 93  15
131 105  15
160 79  13
129 74  11
186 102  14
201 98  14
90 72  15
164 78  10
135 108  15
178 98  14
149 78  11
142 81  12
149 86  13
135 76  10
154 85  15
168 84  15
157 78  14
120 96  15
135 96  15
164 77  12
157 74  15
157 71  12
157 70  11
157 80  14
117 94  15
117 94  15
234 101  15
234 101  15
214 92  15
194 89  15
158 80  13
176 75  14
196 95  14
129 52  0
382 201  15
196 87  13
186 82  12
152 111  15
161 75  13
143 65  7
131 57  3
121 97  15
234 104  14
127 102  15
157 98  13
201 95  13
127 102  15
149 99  15
172 84  15
127 102  15
149 93  14
157 77  12
157 126  15
231 129  14
110 88  15
154 122  15
198 108  14
113 91  15
157 91  11
113 91  15
142 87  15
115 93  15
160 93  15
141 113  15
155 90  15
113 91  15
157 86  14
215 118  15
113 91  15
164 88  15
127 102  15
201 100  14
113 91  15
142 66  7
115 93  15
137 99  15
137 69  12
190 100  15
157 86  15
142 69  15
145 71  15
172 87  13
139 78  11
149 84  15
201 95  15
139 85  15
95 76  15
154 112  15
184 84  15
173 75  15
173 75  15
142 98  14
201 90  15
201 90  15
208 89  15
172 90  15
348 179  15
205 106  15
157 74  8
245 109  15
172 81  14
178 89  15
163 72  9
113 91  15
143 102  15
166 84  13
152 122  15
173 106  15
207 103  12
135 108  15
157 105  14
178 87  15
133 107  15
215 116  15
223 123  15
105 84  15
142 100  14
102 82  15
158 88  14
120 96  15
142 114  15
157 84  15
127 102  15
163 100  15
108 87  15
137 81  14
114 91  15
131 105  15
168 84  15
113 91  15
178 85  15
164 78  15
143 115  15
214 111  12
113 91  15
147 83  14
127 102  15
149 120  15
178 102  15
68 55  15
105 61  3
157 86  14
120 96  15
172 86  15
127 102  15
160 86  15
213 171  15
304 152  15
215 102  14
245 153  15
201 89  13
149 120  15
186 112  15
205 94  15
120 96  15
182 82  10
172 76  15
168 70  9
168 66  11
170 69  3
149 67  7
176 78  14
135 49  1
194 86  14
142 54  1
208 89  15
149 56  0
194 75  9
172 71  14
186 77  14
164 71  10
157 64  14
172 64  11
164 69  10
201 70  6
157 64  14
172 71  14
201 80  15
154 58  5
127 78  12
127 66  1
157 64  12
142 75  9
157 69  13
157 74  8
164 80  15
148 68  14
149 71  15
172 81  14
194 73  12
172 64  11
172 64  11
195 65  6
195 65  6
203 69  14
149 65  11
213 77  15
157 66  11
186 85  13
154 58  5
205 112  14
127 48  1
173 66  14
173 70  10
172 89  11
168 84  13
170 93  15
142 93  15
186 91  15
142 70  13
135 64  3
186 91  15
186 84  12
186 86  15
429 231  15
186 85  14
223 103  15
201 100  14
127 78  12
172 73  13
172 88  14
215 105  14
208 104  15
172 87  11
201 98  14
201 95  13
172 84  15
157 77  12
231 129  14
198 108  14
160 93  15
164 88  15
137 69  12
149 84  15
201 90  15
201 90  15
172 89  11
168 84  13
170 93  15
186 91  15
142 70  13
135 64  3
245 131  14
289 141  15
201 95  13
172 84  15
157 77  12
137 69  12
164 88  15
218 87  15
218 87  15
180 75  15
180 75  15
